location_type,state,county_name,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
county,Alabama,Autauga,1001,32.53952745,-86.64408227,Medium metro,55200,2304,4173.91,30,54.35
county,Alabama,Baldwin,1003,30.72774991,-87.72207058,Small metro,208107,7263,3490.03,83,39.88
county,Alabama,Barbour,1005,31.868263,-85.3871286,Non-core,25782,1098,4258.79,9,34.91
county,Alabama,Bibb,1007,32.99642064,-87.1251146,Large fringe metro,22527,932,4137.26,16,71.03
county,Alabama,Blount,1009,33.98210918,-86.56790593,Large fringe metro,57645,2335,4050.65,26,45.1
county,Alabama,Bullock,1011,32.10030533,-85.71265535,Non-core,10352,664,6414.22,17,164.22
county,Alabama,Butler,1013,31.75300095,-86.68057478,Non-core,20025,1054,5263.42,41,204.74
county,Alabama,Calhoun,1015,33.77483727,-85.82630386,Small metro,115098,5217,4532.66,67,58.21
county,Alabama,Chambers,1017,32.91360079,-85.39072749,Micropolitan,33826,1489,4401.94,48,141.9
county,Alabama,Cherokee,1019,34.17805983,-85.60638968,Non-core,25853,845,3268.48,15,58.02
county,Alabama,Chilton,1021,32.85044126,-86.7173256,Large fringe metro,43930,2018,4593.67,35,79.67
county,Alabama,Choctaw,1023,32.02227341,-88.2656443,Non-core,13075,407,3112.81,12,91.78
county,Alabama,Clarke,1025,31.68099859,-87.83548597,Non-core,24387,1449,5941.69,18,73.81
county,Alabama,Clay,1027,33.26984193,-85.85836077,Non-core,13378,817,6107.04,13,97.17
county,Alabama,Cleburne,1029,33.67679204,-85.52005899,Non-core,14938,629,4210.74,11,73.64
county,Alabama,Coffee,1031,31.39932826,-85.98901039,Micropolitan,51288,2000,3899.55,12,23.4
county,Alabama,Colbert,1033,34.69847452,-87.80168544,Small metro,54495,2479,4549.04,33,60.56
county,Alabama,Conecuh,1035,31.43401703,-86.99320044,Non-core,12514,607,4850.57,13,103.88
county,Alabama,Coosa,1037,32.93690146,-86.24847739,Micropolitan,10855,236,2174.11,3,27.64
county,Alabama,Covington,1039,31.2477854,-86.45050893,Non-core,37351,1944,5204.68,32,85.67
county,Alabama,Crenshaw,1041,31.72941803,-86.31593104,Non-core,13865,648,4673.64,30,216.37
county,Alabama,Cullman,1043,34.13020303,-86.86888037,Micropolitan,82313,3246,3943.48,27,32.8
county,Alabama,Dale,1045,31.43037123,-85.61095742,Micropolitan,49255,2057,4176.23,55,111.66
county,Alabama,Dallas,1047,32.32688101,-87.1086671,Micropolitan,40029,1987,4963.9,27,67.45
county,Alabama,DeKalb,1049,34.45946862,-85.80782906,Non-core,71200,3911,5492.98,32,44.94
county,Alabama,Elmore,1051,32.59785413,-86.14415284,Medium metro,81212,3477,4281.39,59,72.65
